# Per-second row_stroke_rate for the WORK INTERVALS of the FIRST row recorded on
# the 2000/500 cue latch. Read by scripts/cue_replay.py, which scores it beside
# cue_work_laps.txt and cue_reversal_row.txt.
#
# WHY THIS ROW IS HERE. #210: after rowing it, the athlete said "the stroke rate
# is better, though part of me would want it even twitchier". Every earlier row
# in scripts/fixtures/ was recorded on the 4000/1000 machine, so until this one
# the sweep had nothing to say about how the SHIPPED latch behaves on a row
# somebody actually rowed under it.
#
# A COMPANION FILE, NOT A WIDENING. cue_work_laps.txt holds the two rows the cue
# was originally chosen against and is the source of every figure the CUE_*
# comment block quotes; cue_reversal_row.txt holds the row that reported the
# colour pointing the opposite way from the number. Adding a fourth ROW to
# either would silently redefine "the two rows" or "the reported row" in every
# sentence that names them. Same grammar, same absence convention, separate
# file.
#
# IT IS NOT IN THE POPULATION THE DEFAULT IS CHOSEN FROM, and that is deliberate
# rather than an oversight. The selection rule in scripts/test_cue_replay.py D6
# runs over load_all() -- the three rows recorded on the OLD machine. Letting a
# row that was rowed under 2000/500 help choose 2000/500 would be circular: the
# series is what an athlete did while reacting to that cue. cue_replay.py's
# load_every() is the four-row population, used for the PRESET COST table and
# never for the selection.
#
# WHAT THIS FILE CANNOT SETTLE, stated because it is the obvious thing to want
# from it: the colour the watch actually showed is NOT in the recording. The FIT
# carries row_stroke_rate and no cue state at all -- which is #191, the defect
# the cue_cfg developer field added alongside this fixture exists to close. So
# the replay at preset 1 reproduces what the machine WOULD have decided from the
# recorded numbers; nothing here confirms what the athlete saw. The first row
# recorded with cue_cfg present will be able to answer that; this one cannot.
#
# FORMAT
#   ROW <key> <lo> <hi> <label>     starts a row; lo/hi are the target band, spm
#   LAP <v> <v> <v> ...             one work interval, one value per second
#   Lines beginning with # and blank lines are ignored.
#
# A value of 0 is the app's NO-DATA SENTINEL, not a slow stroke: outputRate()
# returns 0.0 when nothing has been measured and drawRate renders it "--.-".
# cue_replay.py treats it as an absence, and cueBandZone maps it to CUEZ_NONE.
# 32 of the 1440 seconds here carry that zero; the other 1408 carry a
# reading.
#
# THE BAND IS AN ASSUMPTION, exactly as it is for cue_reversal_row.txt, and for
# the same reason: the app recorded no target-band setting anywhere in the file.
# 16-18 below is the SHIPPED DEFAULT (resources/settings/properties.xml,
# targetLo 16 / targetHi 18) and not a decoded value, so every figure derived
# from this row is conditional on the athlete having rowed the default band.
#
# THE LATCH IS ALSO AN ASSUMPTION, and a WEAKER one than it looks. That this row
# ran on 2000/500 is attributed -- it is the maintainer's report in #210 that
# the watch was on v0.9.2 -- and is NOT decoded from the file, which carries no
# app version this harness reads. Both assumptions are exactly what cue_cfg
# removes for future rows.
#
# PROVENANCE, so this is reproducible from the original with any FIT decoder:
#   source file    i185890690.fit, recorded 2026-09-12 on app v0.9.2,
#                  fenix 9 Pro 51 mm, 8 x 3' with rest
#   values         the 'row_stroke_rate' DEVELOPER FIELD (id 0) of record
#                  messages (FIT global message 20), in timestamp order
#   work seconds   record messages whose 'step_type' DEVELOPER FIELD (id 17)
#                  is 2 == SFIT_WORK, split into maximal CONTIGUOUS RUNS
#                  -> 8 runs, 1440 seconds, one run per interval_num 1..8
#   why not laps   the same rule cue_reversal_row.txt uses, and for the same
#                  reason: it selects the seconds the app was actually IN a work
#                  step, which is the question the cue is being asked. Cutting
#                  instead on lap messages (global 19, lap_step_type == 2,
#                  start_time inclusive to start_time + total_elapsed_time
#                  exclusive) gives 8 laps and 1448 seconds -- 181 per lap, one
#                  more at each interval's edge. Both counts are recorded so a
#                  reader who reproduces 1448 knows which convention they used.
#                  NOTE that the lap messages in THIS file all decode with the
#                  same 'timestamp' (field 253) -- the session start -- so the
#                  start_time-to-timestamp convention cue_work_laps.txt uses is
#                  not available here at all.
#   precision      float32 in the file, written here to 4 decimal places with
#                  trailing zeros stripped. That is exact for both band edges
#                  (16, 18) and 1e-4 spm elsewhere, which cannot move a zone
#                  decision.
#
# CROSS-CHECKS a reader can run against the original in two minutes, all pinned
# by scripts/test_cue_replay.py section E:
#   seconds per interval     180, 180, 180, 180, 180, 180, 180, 180
#   interval medians         17.6, 18.1, 17.1, 18.3, 18.3, 18.1, 17.4, 20.4
#   no-data seconds/interval 3, 0, 0, 4, 13, 4, 2, 6
#   row median               17.86 spm over the 1408 readings
#   fastest / slowest        39.5 spm / 6.8 spm
#
# NOTHING BUT STROKE RATE IS HERE. No timestamps, no position, no cadence -- the
# file carries only what the cue's decision function consumes. The heart-rate,
# speed and rate_base series the recording also holds are NOT here and must not
# be added: this file is consumed positionally and every cue figure would then
# depend on a series the cue never sees.
ROW latched 16 18 8x3' on the 2000/500 latch, i185890690
LAP 12.5 18.0723 18.0723 18.0723 0 0 0 20.2703 20.2703 20.2703 21.4286 21.4286 21.4286 21.4286 21.4286 21.4286 19.7368 19.7368 19.7368 19.2308 19.2308 19.2308 19.2308 19.2308 19.2308 19.2308 19.2308 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.4418 17.4418 17.4418 17.4418 15.9574 15.9574 15.9574 15.9574 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 16.6667 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.6471 17.6471 17.6471 17.8571 17.8571 17.8571 17.8571 17.0455 17.0455 17.0455 17.0455 17.0455 17.0455 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.8571 17.4419 17.4419 17.4419 17.4419 17.4419 17.4419 17.4419 17.0454 17.0454 17.0454 17.0454 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 15.625 15.625 15.625 15.625 15.625 15.625 15.625 15.625 15.625 15.625 15.625 15.625 15.1515 15.1515 15.1515 15.625 15.625 15.625 17.0455 17.0455 7.3171 7.3171 7.3171 7.3171 7.3171 15.1515 15.1515 15.1515
LAP 37.5 37.5 18.0723 18.0723 37.5 23.4375 23.4375 23.4375 23.4375 23.4375 23.4375 23.4375 23.4375 23.4375 20.8333 20.8333 20.8333 18.2927 18.2927 18.2927 18.2927 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.8572 17.8572 17.8572 17.8572 18.0724 18.0724 18.0724 18.5184 18.5184 18.5184 17.8572 17.8572 17.8572 17.8572 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 16.4836 16.4836 16.4836 16.4836 17.6471 17.6471 17.6471 17.6471 17.6471 17.6471 18.5184 18.5184 18.5184 18.0724 18.0724 18.0724 18.0724 18.7499 18.7499 18.7499 18.7499 18.7499 18.7499 18.5184 18.5184 18.5184 18.5184 18.5184 18.5184 18.5184 18.5184 18.5184 18.5184 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.2927 18.9873 18.9873 18.9873 18.2927 18.2927 18.2927 18.2927 16.3044 16.3044 16.3044 18.0722 18.0722 18.0722 18.0722 17.2413 17.2413 17.2413 17.2413 16.3044 16.3044 16.3044 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 16.6666 17.0455 17.0455 17.0455 17.8571 17.8571 17.8571 18.5186 18.5186 18.5186 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 19.4804 7.3171 7.3171 16.8539 16.8539 16.8539 14.4231 14.4231 14.4231 14.4231
LAP 7.2115 25 25 25.862 25.862 25.862 25.6411 25.6411 25.4239 25.4239 25.4239 25.4239 25.4239 25.4239 23.4375 23.4375 23.4375 23.0766 23.0766 23.0766 23.0766 23.0766 23.4375 23.4375 23.8099 23.8099 23.8099 23.8099 23.8099 23.8099 23.8099 23.8099 23.8099 23.8099 23.8099 18.5186 18.5186 18.5186 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 17.4418 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 18.0722 18.9875 18.9875 18.9875 18.9875 16.8539 16.8539 16.8539 17.2412 17.2412 17.2412 17.2412 16.8539 16.8539 16.8539 17.2412 17.2412 17.2412 17.2412 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 16.4834 16.4834 16.4834 16.4834 16.6668 16.6668 16.6668 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 17.2415 17.2415 17.2415 17.2415 17.4418 17.4418 17.4418 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.2415 17.2415 17.2415 17.8572 17.8572 17.8572 17.8572 17.0454 17.0454 17.0454 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 16.6665 16.6665 16.6665 16.6665 16.6665 16.6665 16.6665 16.4837 16.4837 16.4837 16.4837 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 16.8539 17.0454 17.0454 17.0454 16.6668 16.6668
LAP 18.7501 18.7501 7.3171 7.3171 7.3171 7.3171 0 0 0 0 20 20 19.4805 19.4805 10.6383 10.6383 19.0066 18.2925 18.2925 18.2925 18.2929 18.2929 18.2929 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 17.4415 17.4415 17.4415 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.6476 17.6476 17.6476 18.2925 18.2925 18.2925 18.9871 18.9871 18.9871 18.9871 18.2925 18.2925 18.2925 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 19.48 19.48 19.48 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 19.7374 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 15.9574 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 17.2415 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.7503 18.7503 18.7503 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925
LAP 0 0 0 0 0 0 0 0 0 0 0 0 0 22.7271 22.7271 22.7271 22.0591 22.0591 22.0591 21.4291 21.4291 21.4291 20.8333 20.8333 20.8333 19.4808 19.4808 19.4808 19.4808 19.4808 19.4808 20.8333 20.8333 20.8333 20.8333 20.8333 22.0581 22.0581 22.0581 22.0581 22.0581 22.0581 22.0581 22.0581 22.0581 21.127 21.127 21.127 21.127 21.127 21.127 20.8333 20.8333 20.8333 20.8333 18.9871 18.9871 18.9871 18.2925 18.2925 18.2925 18.2925 16.8542 16.8542 16.8542 16.8542 16.8542 16.8542 16.8542 16.8542 16.8542 16.8542 17.4422 17.4422 17.4422 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 18.2925 17.8572 17.8572 17.8572 17.2415 17.2415 17.2415 17.2415 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 16.8537 16.8537 16.8537 16.8537 17.0454 17.0454 17.0454 17.2415 17.2415 17.2415 18.0719 18.0719 18.0719 18.0719 18.0719 18.0719 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 17.8566 17.8566 17.8566 17.8566 16.8542 16.8542 16.8542 16.4834 16.4834 16.4834 16.4834 16.4834 16.4834 16.4834 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 16.6668 17.2409 17.2409 17.2409 17.4415 17.4415 17.4415 18.2932 18.2932 18.2932 18.7503 18.7503 18.7503 18.7503 18.7503 18.7503 19.4808 19.4808 19.4808 19.4808
LAP 0 0 0 0 39.4732 39.4732 39.4732 39.4732 39.4732 27.2718 27.2718 27.2718 22.7271 22.7271 22.7271 22.0591 22.0591 22.0591 21.4291 21.4291 21.4291 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 20.5485 20.5485 20.5485 20.2697 20.2697 20.2697 20.2697 20.2697 20.2697 20.2697 18.7503 18.7503 18.7503 18.0726 18.0726 18.0726 18.0726 18.7503 18.7503 18.7503 18.7503 18.7503 18.7503 18.5186 18.5186 18.5186 18.7503 18.7503 18.7503 18.7503 18.7503 18.7503 20.2697 20.2697 20.2697 18.7503 18.7503 18.7503 18.7503 18.7503 18.7503 18.7503 18.5186 18.5186 18.5186 18.5186 18.5186 18.5186 18.5186 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 17.6469 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 17.4422 17.4422 17.4422 17.4422 17.4422 17.4422 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 18.0726 18.0726 18.0726 18.0726 17.8572 17.8572 17.8572 17.8572 17.8572 17.8572 17.8572 16.8537 16.8537 16.8537 16.8537 15.9574 15.9574 15.9574 15.9574 15.4639 15.4639 15.4639 15.4639 15.4639 15.4639 15.4639 15.9574 15.9574 15.9574 15.9574 15.4639 15.4639 15.4639 15.4639 15.6251 15.6251 15.6251 15.6251 16.4834 16.4834 16.4834 17.0454 17.0454 17.0454 17.0454 16.4834 16.4834 16.4834 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454 17.0454
LAP 23.0771 23.0771 0 0 28.8451 28.8451 23.0771 23.0771 23.0771 22.7271 22.7271 22.7271 22.7271 22.7271 22.7271 22.7271 21.4291 21.4291 21.4291 18.5186 18.5186 18.5186 18.5186 18.5186 18.5186 18.5186 18.2932 18.2932 18.2932 18.2932 18.2932 18.2932 18.2932 17.8572 17.8572 17.8572 18.0726 18.0726 18.0726 18.0726 18.0726 18.0726 19.7366 19.7366 19.7366 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.9871 18.2925 18.2925 18.2925 18.2925 17.8572 17.8572 17.8572 17.8572 17.8572 17.8572 17.8572 17.0454 17.0454 17.0454 17.0454 17.0454 16.1297 16.1297 16.1297 16.1297 16.1297 16.1297 16.1297 16.1297 16.1297 16.1297 16.8537 16.8537 17.4422 17.4422 17.4422 17.4422 17.4422 17.4422 17.4422 17.4422 18.5186 18.5186 18.5186 18.5186 17.4422 7.8947 7.8947 17.4422 17.4422 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.2859 14.5636 14.5636 14.5636 14.5636 15.4634 15.4634 15.4634 16.8548 16.8548 16.8548 16.8548 16.8548 16.8548 16.8548 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.4829 16.4829 16.4829 16.4829 16.4829 16.4829 16.4829 16.8548 16.8548 16.8548 17.4422 17.4422 17.4422 17.4422 17.6463 17.6463 17.6463 17.6463 17.6463 17.6463 17.6463 17.4422 17.4422 17.4422 17.6463 17.6463 17.6463 17.6463 17.4422 17.4422 17.4422 17.4422 17.4422 17.4422 17.4422 17.2415 17.2415
LAP 0 6.8808 6.8808 11.2781 11.2781 11.2781 18.7503 18.7503 0 21.277 21.277 24.1937 24.1937 24.5908 24.5908 24.5908 24.5908 24.5908 24.5908 24.5908 24.9985 24.9985 25.001 25.001 25 25 25 25.8621 25.8621 25.5102 25.5102 28.8451 28.8451 28.8451 24.1937 24.1937 23.0782 23.0782 23.0782 22.7282 22.7282 22.7282 22.7261 22.7261 22.7261 22.7261 22.7261 22.3866 22.3866 22.3866 21.7391 21.7391 21.7391 21.7391 21.1261 21.1261 21.1261 20.5485 20.5485 20.5485 19.48 19.48 19.48 19.48 19.48 19.48 19.48 19.48 19.48 20.2705 20.2705 20.2705 20.2705 20.2705 20.5485 20.5485 20.5485 20.2705 20.2705 20.2705 20.2705 20.2705 20.2705 20.5485 20.5485 20.5485 20.5485 20.5485 20.2705 20.2705 20.2705 20.2705 21.7391 6.8182 6.8182 21.7391 21.7391 0 24.1936 6.8182 6.8182 6.8182 6.8182 25 25 10.8695 23.4375 6.8182 6.8182 6.8182 6.8182 25 0 11.3636 11.3636 22.5904 22.5904 22.1109 21.1261 21.1261 21.1261 21.1261 18.7503 18.7503 18.7503 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 21.1261 16.8548 9.375 9.375 9.375 9.375 16.8548 16.8548 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 16.6673 0 0 7.7322 7.7322 20 11.0295 11.0295 11.0295 11.0295 11.0295 11.0295 23.0203 23.0203 23.0203 23.0203 12.5522 12.5522 12.5522 17.8566 17.8566 17.8566 18.7489 18.7489 18.7489 17.8566 17.8566 17.8566
